code,Viloyat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1700,O'zbekiston Respublikasi,28001.4,29123.4,29555.4,29993.5,30492.8,31022.5,31575.3,32120.5,32656.7,33255.5,33905.2,34558.9,35271.3,36024.9,36799.8,37543.2,38236.7
1735,Qoraqalpog'iston Respublikasi,1632,1680.9,1692.8,1711.8,1736.5,1763.1,1791.1,1817.5,1842.3,1869.8,1898.3,1923.7,1948.5,1976.2,2002.7,2029.7,2053.2
1703,Andijon viloyati,2549.1,2672.3,2714.2,2756.4,2805.5,2857.3,2910.5,2962.5,3011.7,3066.9,3127.7,3188.1,3253.5,3322.7,3394.4,3461,3521.8
1706,Buxoro viloyati,1612.5,1683.8,1707.4,1729.7,1756.4,1785.4,1815.2,1843.5,1870.2,1894.8,1923.9,1947.1,1976.8,2009.7,2044,2077,2107
1708,Jizzax viloyati,1116.8,1166.7,1186.6,1205,1226.8,1250.1,1276.1,1301,1325,1352.4,1382.1,1410.5,1443.4,1475.5,1507.4,1537.6,1566.9
1710,Qashqadaryo viloyati,2616.1,2722.9,2777.8,2831.3,2895.3,2958.9,3025.6,3088.8,3148.4,3213.1,3280.4,3335.4,3408.3,3482.3,3560.6,3639.3,3717
1712,Navoiy viloyati,851.6,873,881.2,888.4,901.1,913.2,927.9,942.8,958,979.5,997.1,1013.6,1033.9,1055.5,1075.3,1094.7,1111.9
1714,Namangan viloyati,2258.5,2379.5,2420.6,2458.7,2504.1,2554.2,2603.4,2652.4,2699.6,2752.9,2810.8,2867.5,2931.1,2997.5,3066.1,3131.7,3190.8
1718,Samarqand viloyati,3119,3270.8,3326.2,3380.9,3445.6,3514.8,3583.9,3651.7,3720.1,3798.9,3877.4,3947.7,4031.3,4118.2,4208.5,4297.5,4379.8
1722,Surxondaryo viloyati,2075,2175.1,2218.9,2260.6,2308.3,2358.3,2411.5,2462.3,2514.2,2569.9,2629.1,2680.8,2743.2,2806.5,2877.1,2945.5,3011
1724,Sirdaryo viloyati,714.4,727.2,739.5,750.6,763.8,777.1,790.6,803.1,815.9,829.9,846.3,860.9,878.6,896.6,914,930.8,946.3
1727,Toshkent viloyati,2585.9,2644.4,2671,2695.7,2725.9,2758.3,2794.1,2829.3,2861.2,2898.5,2941.9,2975.9,2941.5,2993.4,3051.8,3108.5,3160.7
1730,Farg'ona viloyati,3074.6,3229.2,3280.8,3329.7,3386.5,3444.9,3505.3,3564.8,3620.2,3683.3,3752,3820,3896.4,3976.3,4061.5,4144.7,4223
1733,Xorazm viloyati,1561.6,1601.1,1629.1,1653.8,1684.1,1715.6,1746.9,1776.7,1805,1835.7,1866.5,1893.3,1924.2,1958.1,1995.6,2032.4,2069.2
1726,Toshkent shahri,2234.3,2296.5,2309.3,2340.9,2352.9,2371.3,2393.2,2424.1,2464.9,2509.9,2571.7,2694.4,2860.6,2956.4,3040.8,3112.8,3178.1
