"Yil","Qoraqalpog'iston Respublikasi","Andijon viloyati","Buxoro viloyati","Jizzax viloyati","Qashqadaryo viloyati","Navoiy viloyati","Namangan viloyati","Samarqand viloyati","Surxondaryo viloyati","Sirdaryo viloyati","Toshkent viloyati","Farg'ona viloyati","Xorazm viloyati","Toshkent shahri"
"2010",1632,2549.1,1612.5,1116.8,2616.1,851.6,2258.5,3119,2075,714.4,2585.9,3074.6,1561.6,2234.3
"2011",1680.9,2672.3,1683.8,1166.7,2722.9,873,2379.5,3270.8,2175.1,727.2,2644.4,3229.2,1601.1,2296.5
"2012",1692.8,2714.2,1707.4,1186.6,2777.8,881.2,2420.6,3326.2,2218.9,739.5,2671,3280.8,1629.1,2309.3
"2013",1711.8,2756.4,1729.7,1205,2831.3,888.4,2458.7,3380.9,2260.6,750.6,2695.7,3329.7,1653.8,2340.9
"2014",1736.5,2805.5,1756.4,1226.8,2895.3,901.1,2504.1,3445.6,2308.3,763.8,2725.9,3386.5,1684.1,2352.9
"2015",1763.1,2857.3,1785.4,1250.1,2958.9,913.2,2554.2,3514.8,2358.3,777.1,2758.3,3444.9,1715.6,2371.3
"2016",1791.1,2910.5,1815.2,1276.1,3025.6,927.9,2603.4,3583.9,2411.5,790.6,2794.1,3505.3,1746.9,2393.2
"2017",1817.5,2962.5,1843.5,1301,3088.8,942.8,2652.4,3651.7,2462.3,803.1,2829.3,3564.8,1776.7,2424.1
"2018",1842.3,3011.7,1870.2,1325,3148.4,958,2699.6,3720.1,2514.2,815.9,2861.2,3620.2,1805,2464.9
"2019",1869.8,3066.9,1894.8,1352.4,3213.1,979.5,2752.9,3798.9,2569.9,829.9,2898.5,3683.3,1835.7,2509.9
"2020",1898.3,3127.7,1923.9,1382.1,3280.4,997.1,2810.8,3877.4,2629.1,846.3,2941.9,3752,1866.5,2571.7
"2021",1923.7,3188.1,1947.1,1410.5,3335.4,1013.6,2867.5,3947.7,2680.8,860.9,2975.9,3820,1893.3,2694.4
"2022",1948.5,3253.5,1976.8,1443.4,3408.3,1033.9,2931.1,4031.3,2743.2,878.6,2941.5,3896.4,1924.2,2860.6
"2023",1976.2,3322.7,2009.7,1475.5,3482.3,1055.5,2997.5,4118.2,2806.5,896.6,2993.4,3976.3,1958.1,2956.4
"2024",2002.7,3394.4,2044,1507.4,3560.6,1075.3,3066.1,4208.5,2877.1,914,3051.8,4061.5,1995.6,3040.8
"2025",2029.7,3461,2077,1537.6,3639.3,1094.7,3131.7,4297.5,2945.5,930.8,3108.5,4144.7,2032.4,3112.8
"2026",2053.2,3521.8,2107,1566.9,3717,1111.9,3190.8,4379.8,3011,946.3,3160.7,4223,2069.2,3178.1
